 MMM	3M Company
 ABBN	ABB Ltd
 ABT	Abbott Laboratories
 ABBV	AbbVie Inc
 ABSI	Absolute Invest AG
 ACUN	Accu Holding AG
 ACIN	Acino Holding AG
 ATLN	Actelion Ltd.
 ADXN	Addex Therapeutics Ltd
 ADEN	Adecco SA
 ADVN	Adval Tech Holding AG
 ADBN	Advanced Digital Broadcast Holdings SA
 AEVS	AEVIS Holding SA
 AFGN	AFG Arbonia-Forster-Holding AG
 AIRE	Airesis SA
 ALLN	Allreal Holding AG
 APHN	Alpha PetroVision Holding AG
 ALPN	Alpine Select AG
 ALPH	Alpiq Holding AG
 ALSN	ALSO Holding AG
 ALTN	Altin AG
 AMS	ams AG
 AAM	Anglo American plc
 APEN	APEN AG
 APGN	APG SGA SA
 ARYN	ARYZTA AG
 ASCN	Ascom Holding AG
 AUTN	Autoneum Holding AG
 BANB	Bachem Holding AG
 BHI	Baker Hughes Incorporated
 BALN	Bâloise Holding AG
 BC	Bank Coop AG
 LINN	Bank Linth LLB AG
 BCGE	Banque Cantonale de Genève
 BCJ	Banque Cantonale du Jura SA
 BCVN	Banque Cantonale Vaudoise
 RLD	Banque Privée Edmond de Rothschild S.A.
 BPDG	Banque Profil de Gestion S.A.
 BARN	Barry Callebaut AG
 BLKB	Basellandschaftliche Kantonalbank
 BAS	BASF SE
 BSLN	Basilea Pharmaceutica AG
 BSKP	Basler Kantonalbank
 BAX	Baxter International Inc.
 BION	BB Biotech AG
 BEAN	BELIMO Holding AG
 BELL	Bell AG
 BBN	Bellevue Group AG
 TIBN	Bergbahnen Engelberg-Trübsee-Titlis AG
 BEKN	Berner Kantonalbank AG
 BLIN	BFW Liegenschaften AG
 BKW	BKW AG
 BOBNN	Bobst Group SA
 BON	Bondpartners SA
 BOS	Bossard Holding AG
 BUCN	Bucher Industries AG
 BCHN	Burckhardt Compression Holding AG
 BRKN	Burkhalter Holding AG
 BVZN	BVZ Holding AG
 CALN	Calida Holding AG
 GAV	Carlo Gavazzi Holding AG
 CASN	Castle Alternative Invest AG
 CASN	Castle Alternative Invest AG
 CPEN	Castle Private Equity AG
 CPEN	Castle Private Equity AG
 CAT	Caterpillar Inc.
 CKWN	Centralschweizerische Kraftwerke AG
 CPGN	Cham Paper Group Holding AG
 VCH	Charles Vögele Holding AG
